locus_tag	abundance	source_gene_id
M744_RS02750	1708.4950	Synpcc7942_0046
M744_RS02755	95.8113	Synpcc7942_0045
M744_RS02760	240.6701	Synpcc7942_0044
M744_RS02765	44.5813	Synpcc7942_0043
M744_RS02770	2989.5295	Synpcc7942_0042
M744_RS02775	207.2577	Synpcc7942_0041
M744_RS02780	163.1832	Synpcc7942_0040
M744_RS02785	799.4795	Synpcc7942_0039
M744_RS02790	110.8025	Synpcc7942_0038
M744_RS02795	41.7428	Synpcc7942_0037
M744_RS02800	89.3684	Synpcc7942_0036
M744_RS02805	70.5065	Synpcc7942_0035
M744_RS02815	52.9138	Synpcc7942_0032
M744_RS02820	127.7150	Synpcc7942_0031
M744_RS02825	84.4018	Synpcc7942_0030
M744_RS02830	23.4018	Synpcc7942_0029
M744_RS02835	31.4977	Synpcc7942_0028
M744_RS02845	187.8271	Synpcc7942_0026
M744_RS02850	415.5574	Synpcc7942_0025
M744_RS02855	192.8668	Synpcc7942_0024
M744_RS02860	352.6763	Synpcc7942_0023
M744_RS02865	315.3715	Synpcc7942_0022
M744_RS02870	55.8077	Synpcc7942_0021
M744_RS02875	36.7967	Synpcc7942_0020
M744_RS02880	479.4134	Synpcc7942_0019
M744_RS02885	712.0430	Synpcc7942_0018
M744_RS02890	19.4047	Synpcc7942_0017
M744_RS02895	144.0635	Synpcc7942_0016
M744_RS02905	34.9274	Synpcc7942_0015
M744_RS02910	140.2331	Synpcc7942_0014
M744_RS02915	4269.8644	Synpcc7942_0013
M744_RS02920	1101.6219	Synpcc7942_0012
M744_RS02925	178.1111	Synpcc7942_0011
M744_RS02930	459.8507	Synpcc7942_0010
M744_RS02935	944.2722	Synpcc7942_0009
M744_RS02940	87.4465	Synpcc7942_0008
M744_RS02945	86.0342	Synpcc7942_0007
M744_RS02950	23.5695	Synpcc7942_0006
M744_RS02955	77.8052	Synpcc7942_0005
M744_RS02960	3046.9334	Synpcc7942_0004
M744_RS02965	1840.0491	Synpcc7942_0003
M744_RS02970	257.3840	Synpcc7942_0002
M744_RS02975	979.1868	Synpcc7942_0001
M744_RS02980	115.3435	Synpcc7942_2613
M744_RS02985	1158.6793	Synpcc7942_2612
M744_RS02990	60.7640	Synpcc7942_2611
M744_RS02995	142.0589	Synpcc7942_2610
M744_RS03000	664.3823	Synpcc7942_2609
M744_RS03005	1192.2206	Synpcc7942_2608
M744_RS03010	82.5157	Synpcc7942_2607
M744_RS03015	1168.5450	Synpcc7942_2606
M744_RS03020	1575.2974	Synpcc7942_2605
M744_RS03025	181.8243	Synpcc7942_2604
M744_RS03030	385.5371	Synpcc7942_2603
M744_RS03035	659.0215	Synpcc7942_2602
M744_RS03040	211.6790	Synpcc7942_2601
M744_RS03045	190.0474	Synpcc7942_2600
M744_RS03050	39.0325	Synpcc7942_2599
M744_RS03055	173.3899	Synpcc7942_2598
M744_RS03060	122.0205	Synpcc7942_2597
M744_RS03065	1326.2049	Synpcc7942_2596
M744_RS03070	593.4220	Synpcc7942_2595
M744_RS03075	324.8685	Synpcc7942_2594
M744_RS03085	2995.1362	Synpcc7942_2593
M744_RS03090	77.4962	Synpcc7942_2592
M744_RS03095	210.1174	Synpcc7942_2591
